GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC17,Occupied housing units; Estimate; YEAR STRUCTURE BUILT - 1939 or earlier
HC01_MOE_VC17,Occupied housing units; Margin of Error; YEAR STRUCTURE BUILT - 1939 or earlier
HC02_EST_VC17,Owner-occupied housing units; Estimate; YEAR STRUCTURE BUILT - 1939 or earlier
HC02_MOE_VC17,Owner-occupied housing units; Margin of Error; YEAR STRUCTURE BUILT - 1939 or earlier
HC03_EST_VC17,Renter-occupied housing units; Estimate; YEAR STRUCTURE BUILT - 1939 or earlier
HC03_MOE_VC17,Renter-occupied housing units; Margin of Error; YEAR STRUCTURE BUILT - 1939 or earlier
HC01_EST_VC20,Occupied housing units; Estimate; ROOMS - 1 room
HC01_MOE_VC20,Occupied housing units; Margin of Error; ROOMS - 1 room
HC02_EST_VC20,Owner-occupied housing units; Estimate; ROOMS - 1 room
HC02_MOE_VC20,Owner-occupied housing units; Margin of Error; ROOMS - 1 room
HC03_EST_VC20,Renter-occupied housing units; Estimate; ROOMS - 1 room
HC03_MOE_VC20,Renter-occupied housing units; Margin of Error; ROOMS - 1 room
HC01_EST_VC21,Occupied housing units; Estimate; ROOMS - 2 or 3 rooms
HC01_MOE_VC21,Occupied housing units; Margin of Error; ROOMS - 2 or 3 rooms
HC02_EST_VC21,Owner-occupied housing units; Estimate; ROOMS - 2 or 3 rooms
HC02_MOE_VC21,Owner-occupied housing units; Margin of Error; ROOMS - 2 or 3 rooms
HC03_EST_VC21,Renter-occupied housing units; Estimate; ROOMS - 2 or 3 rooms
HC03_MOE_VC21,Renter-occupied housing units; Margin of Error; ROOMS - 2 or 3 rooms
HC01_EST_VC22,Occupied housing units; Estimate; ROOMS - 4 or 5 rooms
HC01_MOE_VC22,Occupied housing units; Margin of Error; ROOMS - 4 or 5 rooms
HC02_EST_VC22,Owner-occupied housing units; Estimate; ROOMS - 4 or 5 rooms
HC02_MOE_VC22,Owner-occupied housing units; Margin of Error; ROOMS - 4 or 5 rooms
HC03_EST_VC22,Renter-occupied housing units; Estimate; ROOMS - 4 or 5 rooms
HC03_MOE_VC22,Renter-occupied housing units; Margin of Error; ROOMS - 4 or 5 rooms
HC01_EST_VC23,Occupied housing units; Estimate; ROOMS - 6 or 7 rooms
HC01_MOE_VC23,Occupied housing units; Margin of Error; ROOMS - 6 or 7 rooms
HC02_EST_VC23,Owner-occupied housing units; Estimate; ROOMS - 6 or 7 rooms
HC02_MOE_VC23,Owner-occupied housing units; Margin of Error; ROOMS - 6 or 7 rooms
HC03_EST_VC23,Renter-occupied housing units; Estimate; ROOMS - 6 or 7 rooms
HC03_MOE_VC23,Renter-occupied housing units; Margin of Error; ROOMS - 6 or 7 rooms
HC01_EST_VC24,Occupied housing units; Estimate; ROOMS - 8 or more rooms
HC01_MOE_VC24,Occupied housing units; Margin of Error; ROOMS - 8 or more rooms
HC02_EST_VC24,Owner-occupied housing units; Estimate; ROOMS - 8 or more rooms
HC02_MOE_VC24,Owner-occupied housing units; Margin of Error; ROOMS - 8 or more rooms
HC03_EST_VC24,Renter-occupied housing units; Estimate; ROOMS - 8 or more rooms
HC03_MOE_VC24,Renter-occupied housing units; Margin of Error; ROOMS - 8 or more rooms
HC01_EST_VC27,Occupied housing units; Estimate; BEDROOMS - No bedroom
