,A1,A4,A3,A5,A2,HC01_EST_VC01,HC01_EST_VC02,HC01_EST_VC03,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC06,HC01_EST_VC07
Pennsylvania,18.7,12.7,30.0,4.4,34.2,12075749.0,89.2,10.8,4.7,3.5,2.0,0.6
Puerto Rico,18.6,31.4,33.6,4.1,12.4,3364109.0,5.5,94.5,94.4,0.1,0.0,0.0
Rhode Island,18.9,11.7,29.1,3.5,36.8,1000317.0,79.0,21.0,11.2,6.6,2.4,0.7
South Carolina,17.7,13.4,30.5,6.4,32.0,4545554.0,93.2,6.8,4.4,1.3,0.9,0.3
South Dakota,19.0,10.6,30.0,3.4,36.9,792820.0,94.3,5.7,1.7,1.5,0.8,1.7
Tennessee,16.5,16.2,29.8,7.6,29.9,6150997.0,93.0,7.0,4.0,1.3,1.1,0.7
Texas,18.1,14.2,34.5,5.3,28.0,25010570.0,64.5,35.5,29.8,2.1,2.8,0.8
Utah,22.9,9.0,29.5,3.1,35.5,2693093.0,85.3,14.7,10.0,1.8,2.1,0.8
Vermont,20.9,8.7,28.6,3.0,38.8,595681.0,95.0,5.0,1.0,3.1,0.6,0.2
Virginia,20.2,12.2,28.7,4.7,34.3,7818739.0,84.4,15.6,6.7,3.7,3.6,1.6
Washington,17.9,12.2,30.8,3.8,35.3,6617324.0,81.2,18.8,8.4,4.0,5.5,1.0
West Virginia,13.5,16.7,32.6,9.1,28.2,1747774.0,98.0,2.0,0.8,0.7,0.4,0.1
Wisconsin,18.0,11.3,30.4,4.2,36.1,5418476.0,91.3,8.7,4.5,2.0,1.8,0.3
Wyoming,22.2,10.2,30.3,3.5,33.7,546224.0,93.0,7.0,4.7,1.0,0.5,0.7
